country_name,initial_value,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten
ce,0.00,-579191.81,-388438.31,568548.82,2978209.01,5208698.96,2828119.63,1024303.48,678008.69,2259000.31,57393.63
lte,0.00,579191.81,388438.31,-568548.82,-2978209.01,-5208698.96,-2828119.63,-1024303.48,-678008.69,-2259000.31,-57393.63
